,TOKEN,NE-COARSE-LIT,sent_id
339,.,O,2
340,It,O,2
341,can,O,2
342,raise,O,2
343,up,O,2
344,a,O,2
345,host,O,2
346,of,O,2
347,dissatisfied,O,2
348,Hermans,O,2
349,throughout,O,2
350,the,O,2
351,length,O,2
352,and,O,2
353,breadth,O,2
354,of,O,2
355,Prussia,B-LOC,2
356,",",O,2
357,who,O,2
358,arc,O,2
359,striving,O,2
360,by,O,2
361,every,O,2
362,means,O,2
363,in,O,2
364,their,O,2
365,power,O,2
366,to,O,2
367,damage,O,2
368,the,O,2
369,authority,O,2
370,of,O,2
371,the,O,2
372,King,O,2
373,and,O,2
374,tiro,O,2
375,Government,O,2
376,.,O,2
377,The,O,2
378,military,O,2
379,system,O,2
380,of,O,2
381,Prussia,B-LOC,2
382,",",O,2
383,as,O,2
384,it,O,2
385,has,O,2
386,been,O,2
387,termed,O,2
388,",",O,2
389,has,O,2
390,been,O,2
391,founded,O,2
392,on,O,2
393,an,O,2
394,extensive,O,2
395,militia,O,2
396,system,O,2
397,",",O,2
398,and,O,2
399,some,O,2
400,of,O,2
401,the,O,2
402,greatest,O,2
403,victories,O,2
404,in,O,2
405,Prussia,B-LOC,2
406,have,O,2
407,been,O,2
408,gained,O,2
409,by,O,2
410,those,O,2
411,who,O,2
412,have,O,2
413,enrolled,O,2
414,into,O,2
415,the,O,2
416,army,O,2
417,after,O,2
418,this,O,2
419,irregular,O,2
420,fashion,O,2
421,.,O,2
422,The,O,2
423,policy,O,2
424,of,O,2
425,the,O,2
426,present,O,2
427,Government,O,2
428,of,O,2
429,Prussia,B-LOC,2
430,has,O,2
431,been,O,2
432,to,O,2
433,raise,O,2
434,and,O,2
435,keep,O,2
436,up,O,2
437,a,O,2
438,vast,O,2
439,standing,O,2
440,army,O,2
441,",",O,2
442,on,O,2
443,whoso,O,2
444,permanent,O,2
445,power,O,2
446,and,O,2
447,strength,O,2
448,Prussia,B-LOC,2
449,may,O,2
450,rely,O,2
451,in,O,2
452,her,O,2
453,hour,O,2
454,of,O,2
455,need,O,2
456,to,O,2
457,defend,O,2
458,her,O,2
459,against,O,2
460,the,O,2
461,fierce,O,2
462,attacks,O,2
463,of,O,2
464,Zouaves,O,2
465,",",O,2
466,Chasseurs,O,2
467,",",O,2
468,and,O,2
469,Imperial,O,2
470,Dragoons,O,2
471,.,O,2
472,It,O,2
473,is,O,2
474,the,O,2
475,duty,O,2
476,of,O,2
477,Prussia,B-LOC,2
478,to,O,2
479,adhere,O,2
480,and,O,2
481,hold,O,2
482,fast,O,2
483,to,O,2
484,her,O,2
485,present,O,2
486,military,O,2
487,policy,O,2
488,",",O,2
489,and,O,2
490,to,O,2
491,tread,O,2
492,down,O,2
493,",",O,2
494,with,O,2
495,a,O,2
496,firm,O,2
497,foot,O,2
498,and,O,2
499,strong,O,2
500,hand,O,2
501,",",O,2
502,all,O,2
503,tendencies,O,2
504,towards,O,2
505,a,O,2
506,revolutionary,O,2
507,liberalism,O,2
508,",",O,2
509,come,O,2
510,from,O,2
511,what,O,2
512,quarter,O,2
513,soever,O,2
514,they,O,2
515,may,O,2
516,.,O,2
517,The,O,2
518,Americans,O,2
519,still,O,2
520,continue,O,2
521,to,O,2
522,talk,O,2
523,in,O,2
524,loud,O,2
525,",",O,2
526,warlike,O,2
527,language,O,2
528,.,O,2
529,Bluster,O,2
530,seems,O,2
531,to,O,2
532,bo,O,2
533,one,O,2
534,of,O,2
535,their,O,2
536,national,O,2
537,",",O,2
538,normal,O,2
539,",",O,2
540,verbal,O,2
541,institutions,O,2
542,.,O,2
543,If,O,2
544,wo,O,2
545,are,O,2
546,to,O,2
547,believe,O,2
548,in,O,2
549,half,O,2
550,the,O,2
551,threats,O,2
552,they,O,2
553,utter,O,2
554,",",O,2
555,nothing,O,2
556,but,O,2
557,ultra-annihilation,O,2
558,of,O,2
559,each,O,2
560,other,O,2
561,will,O,2
562,suit,O,2
563,their,O,2
564,purpose,O,2
565,.,O,2
566,A,O,2
567,few,O,2
568,skirmishes,O,2
569,have,O,2
570,occurred,O,2
571,among,O,2
572,their,O,2
573,outposts,O,2
574,",",O,2
575,in,O,2
576,which,O,2
577,the,O,2
578,Federal,O,2
579,cavalry,O,2
580,(,O,2
581,mounted,O,2
582,on,O,2
583,horses,O,2
584,with,O,2
585,very,O,2
586,remarkable,O,2
587,tails,O,2
588,),O,2
589,have,O,2
590,gained,O,2
591,a,O,2
592,very,O,2
593,brilliant,O,2
594,advantage,O,2
595,over,O,2
596,their,O,2
597,opponents,O,2
598,.,O,2
599,Illness,O,2
600,",",O,2
601,sickness,O,2
602,",",O,2
603,and,O,2
604,disease,O,2
605,are,O,2
606,the,O,2
607,lot,O,2
608,of,O,2
609,all,O,2
610,men,O,2
611,.,O,2
612,The,O,2
613,Pope,O,2
614,",",O,2
615,who,O,2
616,abjures,O,2
617,matrimony,O,2
618,and,O,2
619,oonjugalism,O,2
620,as,O,2
621,mortal,O,2
622,sins,O,2
623,",",O,2
624,has,O,2
625,been,O,2
626,suffering,O,2
627,from,O,2
628,erysipelas,O,2
629,",",O,2
630,and,O,2
631,the,O,2
632,Sultan,O,2
633,of,O,2
634,Turkey,B-LOC,2
635,",",O,2
636,who,O,2
637,rejoices,O,2
638,in,O,2
639,possessing,O,2
640,four,O,2
641,hundred,O,2
642,wives,O,2
643,",",O,2
644,and,O,2
645,smokes,O,2
646,thirty,O,2
647,pipes,O,2
648,of,O,2
649,Latakia,O,2
650,daily,O,2
651,",",O,2
652,has,O,2
653,been,O,2
654,also,O,2
655,very,O,2
656,111,O,2
657,",",O,2
658,and,O,2
659,is,O,2
660,dead,O,2
661,.,O,2
662,Reports,O,2
663,of,O,2
664,his,O,2
665,death,O,2
666,have,O,2
667,been,O,2
668,current,O,2
669,in,O,2
670,Paris,B-LOC,2
671,",",O,2
672,and,O,2
673,these,O,2
674,have,O,2
675,now,O,2
676,been,O,2
677,confirmed,O,2
678,by,O,2
679,electric,O,2
680,telegraph,O,2
681,.,O,2
702,OUR,O,3
703,ELECTRIC,O,3
704,DISPATCH,O,3
705,.,O,3
706,fEeuters,O,3
707,Telegram,O,3
708,.,O,3
709,),O,3
710,Wednesday,O,3
711,",",O,3
712,6,O,3
713,p.m,O,3
714,.,O,3
715,THE,O,3
716,AMERICAN,O,3
717,TELEGRAM,O,3
718,.,O,3
719,[,O,3
720,We,O,3
721,have,O,3
722,received,O,3
723,the,O,3
724,annexed,O,3
725,",",O,3
726,per,O,3
727,Electric,O,3
728,and,O,3
729,International,O,3
730,Telegraph,O,3
731,Company,O,3
732,",",O,3
733,as,O,3
734,part,O,3
735,of,O,3
736,our,O,3
737,ordinary,O,3
738,despatch,O,3
739,;,O,3
740,but,O,3
741,it,O,3
742,is,O,3
743,evidently,O,3
744,only,O,3
745,another,O,3
746,version,O,3
747,of,O,3
748,the,O,3
749,Manchester,B-LOC,3
750,Examiners,O,3
751,telegram,O,3
752,",",O,3
753,commented,O,3
754,on,O,3
755,in,O,3
756,our,O,3
757,leading,O,3
758,article,O,3
759,.,O,3
760,—,O,3
761,Ed,O,3
762,.,O,3
763,],O,3
764,New,B-LOC,3
765,York,I-LOC,3
766,",",O,3
767,Oct,O,3
768,.,O,3
769,21,O,3
770,.,O,3
771,—,O,3
772,0n,O,3
773,tho,O,3
774,19th,O,3
775,Longstreet,O,3
776,attacked,O,3
777,Sheridan,O,3
778,during,O,3
779,a,O,3
780,dense,O,3
781,fog,O,3
782,",",O,3
783,before,O,3
784,daylight,O,3
785,",",O,3
786,turning,O,3
787,and,O,3
788,driving,O,3
789,most,O,3
790,of,O,3
791,his,O,3
792,line,O,3
793,in,O,3
794,confusion,O,3
795,",",O,3
796,and,O,3
797,capturing,O,3
798,20,O,3
799,guns,O,3
800,.,O,3
801,Sheridan,O,3
802,rallied,O,3
803,his,O,3
804,troops,O,3
805,",",O,3
806,formed,O,3
807,Hue,O,3
808,of,O,3
809,battle,O,3
810,",",O,3
811,and,O,3
812,defeated,O,3
813,tbe,O,3
814,Confederates,O,3
815,in,O,3
816,the,O,3
817,afternoou,O,3
818,",",O,3
819,capturing,O,3
820,50,O,3
821,guns,O,3
822,",",O,3
823,including,O,3
824,those,O,3
825,previously,O,3
826,taken,O,3
827,by,O,3
828,the,O,3
829,Confederates,O,3
830,",",O,3
831,and,O,3
832,"1,600",O,3
833,prisoners,O,3
834,.,O,3
835,Gold,O,3
836,",",O,3
837,109,O,3
838,.,O,3
839,LONDON,B-LOC,3
840,CORN,O,3
841,MARKET,O,3
842,*,O,3
843,(,O,3
844,From,O,3
845,Kingsford,O,3
846,and,O,3
847,Lags,O,3
848,Circular,O,3
849,.,O,3
850,),O,3
851,This,O,3
852,Day,O,3
853,.,O,3
854,—,O,3
855,Small,O,3
856,attendance,O,3
857,.,O,3
858,English,O,3
859,and,O,3
860,foreign,O,3
861,wheat,O,3
862,nominally,O,3
863,as,O,3
864,on,O,3
865,Monday,O,3
866,.,O,3
867,Spring,O,3
868,corn,O,3
869,unaltered,O,3
870,.,O,3
871,LATEST,O,3
872,MARKET,O,3
873,REPORTS,O,3
874,.,O,3
875,Leeds,B-LOC,3
876,",",O,3
877,Nov,O,3
878,.,O,3
879,I,O,3
880,.,O,3
881,—,O,3
882,The,O,3
883,arrivals,O,3
884,of,O,3
885,grain,O,3
886,this,O,3
887,week,O,3
888,are,O,3
889,not,O,3
890,large,O,3
891,.,O,3
892,The,O,3
893,wheat,O,3
894,trade,O,3
895,to-day,O,3
896,is,O,3
897,only,O,3
898,slow,O,3
899,.,O,3
900,Still,O,3
901,our,O,3
902,millers,O,3
903,have,O,3
904,to,O,3
905,give,O,3
906,last,O,3
907,weeks,O,3
908,prices,O,3
909,to,O,3
910,enable,O,3
911,them,O,3
912,to,O,3
913,supply,O,3
914,their,O,3
915,wants,O,3
916,.,O,3
917,Barley,O,3
918,without,O,3
919,change,O,3
920,.,O,3
921,Oats,O,3
922,and,O,3
923,beans,O,3
924,a,O,3
925,little,O,3
926,cheaper,O,3
927,.,O,3
928,Bristol,B-LOC,3
929,",",O,3
930,Nov,O,3
931,.,O,3
932,I,O,3
933,.,O,3
934,—,O,3
935,At,O,3
936,our,O,3
937,market,O,3
938,there,O,3
939,was,O,3
940,a,O,3
941,good,O,3
942,attendance,O,3
943,of,O,3
944,country,O,3
945,buyers,O,3
946,",",O,3
947,and,O,3
948,a,O,3
949,decidedly,O,3
950,better,O,3
951,feeling,O,3
952,in,O,3
953,wheat,O,3
954,.,O,3
955,Transactions,O,3
956,occurred,O,3
957,at,O,3
958,prices,O,3
959,unobtainable,O,3
960,last,O,3
961,week,O,3
962,.,O,3
963,Barley,O,3
964,dull,O,3
965,;,O,3
966,beans,O,3
967,and,O,3
968,peas,O,3
969,firm,O,3
970,;,O,3
971,oats,O,3
972,trifle,O,3
973,dearer,O,3
974,",",O,3
975,if,O,3
976,these,O,3
977,easterly,O,3
978,winds,O,3
979,continue,O,3
980,our,O,3
981,supply,O,3
982,will,O,3
983,off,O,3
984,",",O,3
985,and,O,3
986,they,O,3
987,will,O,3
988,go,O,3
989,dearer,O,3
990,.,O,3
991,Maize,O,3
992,extremely,O,3
993,quiet,O,3
994,.,O,3
995,Birmingham,B-LOC,3
996,",",O,3
997,Nov,O,3
998,.,O,3
999,I,O,3
1000,.,O,3
1001,—,O,3
1002,We,O,3
1003,received,O,3
1004,a,O,3
1005,good,O,3
1006,supply,O,3
1007,of,O,3
1008,beasts,O,3
1009,on,O,3
1010,offer,O,3
1011,this,O,3
1012,day,O,3
1013,",",O,3
1014,which,O,3
1015,met,O,3
1016,a,O,3
1017,fair,O,3
1018,inquiry,O,3
1019,",",O,3
1020,at,O,3
1021,about,O,3
1022,late,O,3
1023,quotations,O,3
1024,.,O,3
1025,Sheep,O,3
1026,were,O,3
1027,a,O,3
1028,good,O,3
1029,time,O,3
1030,of,O,3
1031,year,O,3
1032,supply,O,3
1033,",",O,3
1034,the,O,3
1035,trade,O,3
1036,steady,O,3
1037,without,O,3
1038,alteration,O,3
1039,in,O,3
1040,prices,O,3
1041,.,O,3
1042,Pat,O,3
1043,pigs,O,3
1044,a,O,3
1045,large,O,3
1046,supply,O,3
1047,:,O,3
1048,demand,O,3
1049,steady,O,3
1050,",",O,3
1051,at,O,3
1052,lower,O,3
1053,prices,O,3
1054,.,O,3
1055,Beef,O,3
1056,",",O,3
1057,od,O,3
1058,.,O,3
1059,to,O,3
1060,7d,O,3
1061,.,O,3
1062,per,O,3
1063,lb,O,3
1064,.,O,3
1065,;,O,3
1066,wether,O,3
1067,mutton,O,3
1068,",",O,3
1069,7,O,3
1070,*,O,3
1071,d,O,3
1072,.,O,3
1073,to,O,3
1074,Bid,O,3
1075,.,O,3
1076,;,O,3
1077,ewes,O,3
1078,",",O,3
1079,7d,O,3
1080,.,O,3
1081,to,O,3
1082,7,O,3
1083,£,O,3
1084,d,O,3
1085,.,O,3
1086,;,O,3
1087,bacon,O,3
1088,pigs,O,3
1089,",",O,3
1090,Bs,O,3
1091,.,O,3
1092,to,O,3
1093,9s,O,3
1094,.,O,3
1095,per,O,3
1096,score,O,3
1097,;,O,3
1098,porkets,O,3
1099,ditto,O,3
1100,",",O,3
1101,9s,O,3
1102,.,O,3
1103,6d,O,3
1104,.,O,3
1105,to,O,3
1106,10s,O,3
1107,.,O,3
1108,Liverpool,B-LOC,3
1109,",",O,3
1110,Nov,O,3
1111,.,O,3
1112,I,O,3
1113,.,O,3
1114,—,O,3
1115,At,O,3
1116,to-days,O,3
1117,market,O,3
1118,there,O,3
1119,was,O,3
1120,a,O,3
1121,moderate,O,3
1122,attendance,O,3
1123,of,O,3
1124,town,O,3
1125,and,O,3
1126,country,O,3
1127,millers,O,3
1128,aud,O,3
1129,dealers,O,3
1130,",",O,3
1131,and,O,3
1132,a,O,3
1133,fair,O,3
1134,sale,O,3
1135,was,O,3
1136,experienced,O,3
1137,for,O,3
1138,wheat,O,3
1139,",",O,3
1140,spriug,O,3
1141,qualities,O,3
1142,bringing,O,3
1143,Id,O,3
1144,.,O,3
1145,to,O,3
1146,2d,O,3
1147,.,O,3
1148,over,O,3
1149,tho,O,3
1150,low,O,3
1151,sales,O,3
1152,of,O,3
1153,Tuesday,O,3
1154,last,O,3
1155,",",O,3
1156,and,O,3
1157,other,O,3
1158,kinds,O,3
1159,the,O,3
1160,extreme,O,3
1161,rates,O,3
1162,of,O,3
1163,that,O,3
1164,day,O,3
1165,.,O,3
1166,Oats,O,3
1167,were,O,3
1168,more,O,3
1169,saleable,O,3
1170,at,O,3
1171,full,O,3
1172,prices,O,3
1173,",",O,3
1174,aud,O,3
1175,oatmeal,O,3
1176,must,O,3
1177,be,O,3
1178,quoted,O,3
1179,6d,O,3
1180,.,O,3
1181,per,O,3
1182,load,O,3
1183,dearer,O,3
1184,.,O,3
1185,Beans,O,3
1186,",",O,3
1187,Is,O,3
1188,.,O,3
1189,dearer,O,3
1190,.,O,3
1191,Indian,O,3
1192,corn,O,3
1193,met,O,3
1194,with,O,3
1195,a,O,3
1196,fair,O,3
1197,inquiry,O,3
1198,",",O,3
1199,at,O,3
1200,an,O,3
1201,advance,O,3
1202,of,O,3
1203,9d,O,3
1204,.,O,3
1205,per,O,3
1206,qr,O,3
1207,.,O,3
1208,Flour,O,3
1209,more,O,3
1210,saleable,O,3
1211,",",O,3
1212,and,O,3
1213,in,O,3
1214,some,O,3
1215,instauces,O,3
1216,rather,O,3
1217,better,O,3
1218,prices,O,3
1219,were,O,3
1220,made,O,3
1221,.,O,3
1242,SCOTLAND,B-LOC,4
1243,.,O,4
1244,Extraordinary,O,4
1245,Lunacy,O,4
1246,Case,O,4
1247,.,O,4
1248,A,O,4
1249,seven,O,4
1250,days,O,4
1251,jury,O,4
1252,trial,O,4
1253,was,O,4
1254,concluded,O,4
1255,at,O,4
1256,Edinburgh,B-LOC,4
1257,on,O,4
1258,Friday,O,4
1259,laßt,O,4
1260,",",O,4
1261,in,O,4
1262,which,O,4
1263,Mr,O,4
1264,.,O,4
1265,Angus,O,4
1266,Macintosh,O,4
1267,",",O,4
1268,of,O,4
1269,Holme,O,4
1270,",",O,4
1271,a,O,4
1272,proprietor,O,4
1273,in,O,4
1274,Invernessshire,B-LOC,4
1275,",",O,4
1276,in,O,4
1277,possession,O,4
1278,of,O,4
1279,estates,O,4
1280,yielding,O,4
1281,him,O,4
1282,several,O,4
1283,thousands,O,4
1284,a,O,4
1285,year,O,4
1286,",",O,4
1287,sought,O,4
1288,"£5,000",O,4
1289,damages,O,4
1290,from,O,4
1291,Dr,O,4
1292,.,O,4
1293,John,O,4
1294,Smith,O,4
1295,and,O,4
1296,Dr,O,4
1297,.,O,4
1298,Lowe,O,4
1299,",",O,4
1300,proprietors,O,4
1301,of,O,4
1302,Saughton-Hall,B-BUILDING,4
1303,Asylum,I-BUILDING,4
1304,",",O,4
1305,a,O,4
1306,first-class,O,4
1307,private,O,4
1308,institution,O,4
1309,for,O,4
1310,the,O,4
1311,insane,O,4
1312,",",O,4
1313,on,O,4
1314,the,O,4
1315,ground,O,4
1316,of,O,4
1317,wrongous,O,4
1318,and,O,4
1319,illegal,O,4
1320,detention,O,4
1321,there,O,4
1322,.,O,4
1323,The,O,4
1324,detention,O,4
1325,took,O,4
1326,place,O,4
1327,so,O,4
1328,far,O,4
1329,back,O,4
1330,as,O,4
1331,from,O,4
1332,the,O,4
1333,13th,O,4
1334,of,O,4
1335,June,O,4
1336,to,O,4
1337,the,O,4
1338,20th,O,4
1339,of,O,4
1340,July,O,4
1341,",",O,4
1342,1852,O,4
1343,",",O,4
1344,when,O,4
1345,",",O,4
1346,through,O,4
1347,connivance,O,4
1348,of,O,4
1349,one,O,4
1350,of,O,4
1351,the,O,4
1352,keepers,O,4
1353,",",O,4
1354,Mr,O,4
1355,.,O,4
1356,Macintosh,O,4
1357,succeeded,O,4
1358,in,O,4
1359,escaping,O,4
1360,.,O,4
1361,An,O,4
1362,action,O,4
1363,was,O,4
1364,brought,O,4
1365,against,O,4
1366,the,O,4
1367,defenders,O,4
1368,in,O,4
1369,1853,O,4
1370,",",O,4
1371,but,O,4
1372,was,O,4
1373,abandoned,O,4
1374,",",O,4
1375,and,O,4
1376,a,O,4
1377,similar,O,4
1378,suit,O,4
1379,was,O,4
1380,at,O,4
1381,the,O,4
1382,same,O,4
1383,time,O,4
1384,instituted,O,4
1385,against,O,4
1386,Drs,O,4
1387,.,O,4
1388,Glover,O,4
1389,and,O,4
1390,Weir,O,4
1391,",",O,4
1392,who,O,4
1393,signed,O,4
1394,the,O,4
1395,medical,O,4
1396,certificate,O,4
1397,",",O,4
1398,and,O,4
1399,Mr,O,4
1400,.,O,4
1401,Hugh,O,4
1402,Fraser,O,4
1403,",",O,4
1404,writer,O,4
1405,to,O,4
1406,the,O,4
1407,Signet,O,4
1408,",",O,4
1409,who,O,4
1410,applied,O,4
1411,to,O,4
1412,the,O,4
1413,sheriff,O,4
1414,for,O,4
1415,a,O,4
1416,warrant,O,4
1417,for,O,4
1418,the,O,4
1419,pursuers,O,4
1420,confinement,O,4
1421,.,O,4
1422,On,O,4
1423,the,O,4
1424,29th,O,4
1425,of,O,4
1426,July,O,4
1427,",",O,4
1428,1859,O,4
1429,",",O,4
1430,after,O,4
1431,a,O,4
1432,five,O,4
1433,days,O,4
1434,trial,O,4
1435,",",O,4
1436,the,O,4
1437,jury,O,4
1438,returned,O,4
1439,an,O,4
1440,unanimous,O,4
1441,verdict,O,4
1442,that,O,4
1443,the,O,4
1444,pursuer,O,4
1445,was,O,4
1446,insane,O,4
1447,at,O,4
1448,the,O,4
1449,time,O,4
1450,",",O,4
1451,and,O,4
1452,was,O,4
1453,justifiably,O,4
1454,sent,O,4
1455,to,O,4
1456,the,O,4
1457,asylum,O,4
1458,and,O,4
1459,detained,O,4
1460,there,O,4
1461,.,O,4
1462,The,O,4
1463,present,O,4
1464,action,O,4
1465,against,O,4
1466,his,O,4
1467,custodiers,O,4
1468,was,O,4
1469,instituted,O,4
1470,°,O,4
1471,nly,O,4
1472,in,O,4
1473,May,O,4
1474,",",O,4
1475,1863,O,4
1476,",",O,4
1477,and,O,4
1478,now,O,4
1479,came,O,4
1480,to,O,4
1481,trial,O,4
1482,.,O,4
1483,The,O,4
1484,jury,O,4
1485,were,O,4
1486,absent,O,4
1487,about,O,4
1488,three,O,4
1489,hours,O,4
1490,",",O,4
1491,and,O,4
1492,returned,O,4
1493,a,O,4
1494,verdict,O,4
1495,hy,O,4
1496,nine,O,4
1497,to,O,4
1498,three,O,4
1499,in,O,4
1500,favour,O,4
1501,of,O,4
1502,the,O,4
1503,defenders,O,4
1504,",",O,4
1505,a,O,4
1506,recent,O,4
1507,statute,O,4
1508,in,O,4
1509,Scotland,B-LOC,4
1510,enabling,O,4
1511,a,O,4
1512,divided,O,4
1513,jury,O,4
1514,in,O,4
1515,Scotland,B-LOC,4
1516,to,O,4
1517,give,O,4
1518,a,O,4
1519,verdict,O,4
1520,by,O,4
1521,three-fourths,O,4
1522,of,O,4
1523,their,O,4
1524,number,O,4
1525,alter,O,4
1526,three,O,4
1527,hours,O,4
1528,deliberation,O,4
1529,.,O,4
1530,The,O,4
1531,verdict,O,4
1532,was,O,4
1533,received,O,4
1534,in,O,4
1535,court,O,4
1536,with,O,4
1537,loud,O,4
1538,cheering,O,4
1539,and,O,4
1540,some,O,4
1541,hissing,O,4
1542,.,O,4
1563,Funeral,O,5
1564,of,O,5
1565,Me,O,5
1566,.,O,5
1567,John,O,5
1568,Leech,O,5
1569,.,O,5
1570,On,O,5
1571,Friday,O,5
1572,afternoon,O,5
1573,",",O,5
1574,at,O,5
1575,2,O,5
1576,oclock,O,5
1577,",",O,5
1578,the,O,5
1579,mortal,O,5
1580,remains,O,5
1581,of,O,5
1582,Mr,O,5
1583,.,O,5
1584,Johu,O,5
1585,Leech,O,5
1586,were,O,5
1587,deposited,O,5
1588,in,O,5
1589,Kensal-green,B-LOC,5
1590,Cemetery,I-LOC,5
1591,.,O,5
1592,The,O,5
1593,Harrow-road,B-STREET,5
1594,was,O,5
1595,dotted,O,5
1596,with,O,5
1597,pedestrians,O,5
1598,",",O,5
1599,now,O,5
1600,single,O,5
1601,figures,O,5
